"cycle","district_final","general_sharetotal_A_all","general_sharetotal_B_all","general_sharetotal_H_all","cand_A_all","cand_B_all","cand_H_all","dfe"
1982,"AK1",0,0,0,0,0,0,1
1984,"AK1",0,0.0506175339137477,0,0,0,0,1
1986,"AK1",0.0361663652802893,0.0723327305605787,0.0578661844484629,0,0,0,1
1988,"AK1",0.0156519017060573,0.0104346011373715,0.00521730056868576,0,0,0,1
1990,"AK1",0,0.0188250480711049,0.0309268646882438,0,0,0,1
1992,"AK1",0.0065087640507944,0.0331946966590514,0.019689011253653,0,0,0,1
1994,"AK1",0.0162276059038527,0.0117338073458627,0.0194731270846232,0,0,0,1
1996,"AK1",0.0340736141503934,0.02290504062332,0,0,0,0,1
1998,"AK1",0.0117122824576628,0.0284821414311344,0.0212950590139323,0,0,0,1
2000,"AK1",0.00871333139703747,0.0145222189950624,0.01161777519605,0,0,0,1
2002,"AK1",0.00723892439138924,0.0579113951311139,0.0325751597612516,0,0,0,1
2004,"AK1",0.00316205533596838,0.0553359683794466,0.025296442687747,0,0,0,1
2006,"AK1",0.00351225485426987,0.0231808820381812,0.0189661762130573,0,0,0,1
2008,"AK1",0.0121226756367081,0.0313495776836574,0.00975074892742866,0,0,0,1
2010,"AK1",0.00837491293250895,0.0334238034619678,0.0349329943758509,0,0,0,1
2012,"AK1",0.0161969549724652,0.0323939099449304,0.0161969549724652,0,0,0,1
1982,"AL1",0,0.0582959641255605,0,0,0,0,2
1984,"AL1",0,0.0801098649576562,0.00440164093173935,0,0,0,2
1986,"AL1",0,0,0,0,0,0,2
1988,"AL1",0,0.0361909725238137,0.0144763890095255,0,0,0,2
1990,"AL1",0,0.0418848167539267,0.130890052356021,0,0,0,2
1992,"AL1",0,0.123318385650224,0,0,0,0,2
1994,"AL1",0,0.056390977443609,0.056390977443609,0,0,0,2
1996,"AL1",0,0.0863787375415282,0,0,0,0,2
1998,"AL1",0,0.16030534351145,0,0,0,0,2
2000,"AL1",0,0.150421179302046,0,0,0,0,2
2002,"AL1",0.0183841054737039,0.134636053938341,0.00763950763652576,0,0,0,2
2004,"AL1",0.00349840009417693,0.067676374901848,0.00787140021189809,0,0,0,2
2006,"AL1",0.0156115832926574,0.0507360362595599,0.00515021304500037,0,0,0,2
2008,"AL1",0,0.0965207631874299,0,0,0,0,2
2010,"AL1",0.0919188050555343,0.0790610494063577,0.00191497510532363,0,0,0,2
2012,"AL1",0,0.0951040062143327,0.00463426798426997,0,0,0,2
1982,"AL2",0,0.210045662100457,0,0,0,0,3
1984,"AL2",0,0.154043645699615,0,1,0,0,3
1986,"AL2",0.117647058823529,0.117647058823529,0,0,0,0,3
1988,"AL2",0,0.375,0,0,0,0,3
1990,"AL2",0,0.219406674907293,0.0128759785743717,0,0,0,3
1992,"AL2",0,0.196516886448943,0.0017277348963575,0,0,0,3
1994,"AL2",0,0.0989010989010989,0,0,0,0,3
1996,"AL2",0.00489672800634616,0.132701328971981,0.0122418200158654,0,1,0,3
1998,"AL2",0.018415392321518,0.128907746250626,0,0,0,0,3
2000,"AL2",0.0200160128102482,0.0512409927942354,0.0160128102481986,0,1,0,3
2002,"AL2",0.0633937658484415,0.208897552224388,0.0107812526953132,0,0,0,3
2004,"AL2",0.00158353127474268,0.0771971496437055,0.00395882818685669,0,0,0,3
2006,"AL2",0,0.0232036507077113,0,0,0,0,3
2008,"AL2",0.0155157589013829,0.279557078875187,0.00663310048002736,0,0,0,3
2010,"AL2",0.00790126265621861,0.156083387230165,0.00505305033860134,0,0,0,3
1982,"AL3",0,0,0,0,0,0,4
1984,"AL3",0,0,0,0,0,0,4
1986,"AL3",0,0,0,0,0,0,4
1988,"AL3",0,0,0,0,0,0,4
1990,"AL3",0,0.0700280112044818,0,0,1,0,4
1992,"AL3",0,0.0245009963738525,0.0751363888798144,0,1,0,4
1994,"AL3",0,0,0,0,0,0,4
1996,"AL3",0.00514905218821845,0.119071831852552,0,0,0,0,4
1998,"AL3",0.00218137714702046,0.109941408209831,0.00218137714702046,0,0,0,4
2000,"AL3",0,0,0,0,0,0,4
2002,"AL3",0.00254592068789605,0.131104831621583,0.00336126835444594,0,0,0,4
2004,"AL3",0.00615606359952426,0.134169016150469,0.013277784234268,0,0,0,4
2006,"AL3",0.00828958275766786,0.050566454821774,0,0,0,0,4
2008,"AL3",0.00439398611279272,0.123740318595743,0.01651288329485,0,0,0,4
2010,"AL3",0.0128271829556498,0.0997313474801769,0.00641359147782488,0,0,0,4
1982,"AL4",0,0,0,0,0,0,5
1984,"AL4",0,0.107142857142857,0,0,0,0,5
1986,"AL4",0,0,0,0,0,0,5
1988,"AL4",0,0,0,0,0,0,5
1990,"AL4",0,0,0,0,0,0,5
1992,"AL4",0.0273717632889911,0.0650079378113538,0.00342147041112388,0,0,0,5
1994,"AL4",0,0.261964735516373,0.0251889168765743,0,0,0,5
1996,"AL4",0.001804850535815,0.0548223350253807,0.0103778905809363,0,0,0,5
1998,"AL4",0.00494928790611322,0.0480032641157312,0.00120714339173493,0,0,0,5
2000,"AL4",0.00263388012684767,0.0554905865124266,0.00421420820295627,0,0,0,5
2002,"AL4",0.00542729058799266,0.00663214909852703,0.0752982296178102,0,0,0,5
2004,"AL4",0,0.0240407082403032,0.0086539626494972,0,0,0,5
2006,"AL4",0.0638569604086845,0,0,0,0,0,5
2008,"AL4",0,0.039175752638508,0.0334586821643403,0,0,0,5
2010,"AL4",0.0467026017241044,0.0700539025861566,0,0,0,0,5
2012,"AL4",0,0,0,0,0,0,5
1982,"AL5",0.0564971751412429,0,0,0,0,0,6
1984,"AL5",0,0,0,0,0,0,6
1986,"AL5",0,0.111111111111111,0,0,0,0,6
1990,"AL5",0.00491764582459085,0.0193427402433907,0.00655686109945447,0,0,0,6
1992,"AL5",0,0.0140845070422535,0.00880281690140845,0,0,0,6
1994,"AL5",0.0123711850358146,0.0536084684885298,0.00309279625895365,0,0,0,6
1996,"AL5",0.00678168943851601,0.044180712077391,0.00398922908148,0,0,0,6
1998,"AL5",0.00913434029381553,0.0267136367083285,0.0194751028905878,0,0,0,6
2000,"AL5",0.0320102432778489,0.00266752027315408,0,0,0,0,6
2002,"AL5",0,0.0197911982022141,0.0116418812954201,0,0,0,6
2004,"AL5",0.0092052906855898,0.0046026453427949,0.165695232340616,0,0,0,6
2006,"AL5",0,0.108359971826407,0.14447996243521,0,0,0,6
2008,"AL5",0.0182260141785821,0.0374189256610677,0.022286982854977,0,0,0,6
2010,"AL5",0.0171428550057604,0.0502551653427664,0.0339724917717101,0,0,0,6
2012,"AL5",0.00767620376831821,0.00314026517794836,0.0139567341242149,0,0,0,6
1982,"AL6",0,0.0332225913621262,0,0,0,0,7
1984,"AL6",0,0.0951790221157548,0,0,0,0,7
1986,"AL6",0,0.111111111111111,0,0,1,0,7
1988,"AL6",0,0.142857142857143,0,0,0,0,7
1990,"AL6",0,0,0,0,0,0,7
1992,"AL6",0.00113000552088412,0.0904811563507925,0,0,0,0,7
1994,"AL6",0.0255629945222155,0.102860620815581,0,0,0,0,7
1996,"AL6",0.00638806198975355,0.0766567438770426,0,0,0,0,7
1998,"AL6",0.0203562340966921,0.106870229007634,0,0,0,0,7
2000,"AL6",0,0.0502873563218391,0.00718390804597701,0,0,0,7
2002,"AL6",0.00340136054421769,0.0595238095238095,0.00425170068027211,0,0,0,7
2004,"AL6",0,0.0304726428801279,0.00609452857602559,0,0,0,7
2006,"AL6",0.00507535068643103,0.0550675549477767,0.00659795589236034,0,0,0,7
2008,"AL6",0,0.0422800859223555,0,0,0,0,7
2010,"AL6",0.0161762303236378,0.0518250472390859,0.0197709481733351,0,0,0,7
2012,"AL6",0.0112718517013707,0.0586648645366795,0.0105033163580955,0,0,0,7
1986,"AL7",0,0.102986611740474,0,0,0,0,8
1988,"AL7",0,0.235294117647059,0,0,0,0,8
1990,"AL7",0.00968992248062015,0.0557170542635659,0,0,0,0,8
1992,"AL7",0.0128081972462376,0.204931155939801,0.0192122958693564,0,1,0,8
1994,"AL7",0,0.174311926605505,0,0,1,0,8
1996,"AL7",0.0067864704924263,0.0948884304251045,0.0135729409848526,0,1,0,8
1998,"AL7",0,0.277777777777778,0,0,1,0,8
2000,"AL7",0,0.214457831325301,0,0,0,0,8
2002,"AL7",0.00940834009675854,0.0480618819400677,0.00952169359190021,0,1,0,8
2004,"AL7",0.0108442227403351,0.094886948977932,0,0,1,0,8
2006,"AL7",0.0344827586206897,0.0862068965517241,0,0,1,0,8
2008,"AL7",0.00371121777425899,0.149685783561779,0.0309268147854916,0,1,0,8
2010,"AL7",0.0191758589753064,0.116949619272555,0.00367556298076027,0,1,0,8
2012,"AL7",0,0.294117647058824,0,0,0,0,8
1982,"AR1",0,0.196208676102396,0.00510960094016657,0,0,0,9
1984,"AR1",0,0.0668896321070234,0,0,0,0,9
1986,"AR1",0,0.189873417721519,0,0,0,0,9
1988,"AR1",0,0.125,0,0,0,0,9
1990,"AR1",0,0.140845070422535,0,0,0,0,9
1992,"AR1",0.00966348340154616,0.137596634834015,0,0,0,0,9
1994,"AR1",0.00901181934768292,0.0866521091123358,0.00173304218224672,0,0,0,9
1996,"AR1",0.00252638812395471,0.0774337959992118,0.00378958218593206,0,0,0,9
1998,"AR1",0,0.161290322580645,0,0,0,0,9
2000,"AR1",0.00820619761006562,0.0890613799445358,0.00120679376618612,0,0,0,9
2002,"AR1",0.0146928940266856,0.15052053658449,0,0,0,0,9
2004,"AR1",0.00147751211781563,0.134453602721223,0,0,0,0,9
2006,"AR1",0.00343769345619925,0.141976739741029,0,0,0,0,9
2008,"AR1",0,0.0311850311850312,0,0,0,0,9
2010,"AR1",0.00914041785851392,0.058648628885583,0,0,0,0,9
2012,"AR1",0,0.185496974744851,0.00097150133225216,0,0,0,9
1982,"AR2",0,0.114285714285714,0,0,1,0,10
1984,"AR2",0,0.221949891067538,0.0068082788671024,0,0,0,10
1986,"AR2",0,0.116550116550117,0,0,0,0,10
1988,"AR2",0,0.265151515151515,0,0,0,0,10
1990,"AR2",0.00208322049222334,0.200680796456859,0.00916617016578269,0,1,0,10
1992,"AR2",0.00295420974889217,0.158542589857213,0,0,1,0,10
1994,"AR2",0,0.0897990333248537,0,0,1,0,10
1996,"AR2",0.00284885675378471,0.210388071267001,0,0,0,0,10
1998,"AR2",0,0.166533912701856,0.00215860105382903,0,0,0,10
2000,"AR2",0.00102191392214651,0.205396523040071,0.00919722529931859,0,0,0,10
2002,"AR2",0,0.32,0,0,0,0,10
2004,"AR2",0.00418364401311868,0.179008943712539,0.00459180440464246,0,0,0,10
2006,"AR2",0.00123043951840991,0.24215049722307,0.0118122193767351,0,0,0,10
2008,"AR2",0,0.157965796579658,0,0,0,0,10
2010,"AR2",0.00936521401924926,0.173321635722128,0.00248017500029421,0,0,0,10
1982,"AR3",0,0.134887974394147,0,0,0,0,11
1984,"AR3",0.166666666666667,0.25,0,0,0,0,11
1986,"AR3",0,0.152439024390244,0,0,0,0,11
1988,"AR3",0.0307493619507395,0.0461240429261093,0,0,0,0,11
1990,"AR3",0,0.0564971751412429,0,0,0,0,11
1992,"AR3",0.00599900176610612,0.0249558473470015,0.00239960070644245,0,0,0,11
1994,"AR3",0.0303979086238867,0.0653555035413564,0,0,0,0,11
1996,"AR3",0.00663332316223782,0.00829165395279727,0,0,0,0,11
1998,"AR3",0.0364006988934188,0.0182003494467094,0,0,0,0,11
2000,"AR3",0.076458444835232,0,0,0,0,0,11
2002,"AR3",0,0,0,0,0,0,11
2004,"AR3",0.0132896326594236,0.0245878240876268,0.00316906624955485,0,0,0,11
2006,"AR3",0.0265202070390972,0.0168695930182425,0.00250085879491017,0,0,0,11
2008,"AR3",0.0353224836792464,0.0618143464386812,0.0044153104599058,0,0,0,11
2010,"AR3",0.00445304806315788,0.0256977981978069,0,0,0,0,11
1982,"AR4",0,0.261800911117573,0,0,0,0,12
1984,"AR4",0,0,0,0,0,0,12
1986,"AR4",0,0.08,0,0,1,0,12
1988,"AR4",0,0.2,0,0,1,0,12
1990,"AR4",0,0.0555555555555556,0,0,0,0,12
1992,"AR4",0,0.224515162860352,0,0,0,0,12
1994,"AR4",0.00731765960338285,0.247284625597173,0.00209075988668081,0,0,0,12
1996,"AR4",0,0.122571475556182,0.00352385650856297,0,0,0,12
1998,"AR4",0,0.24662396600323,0,0,1,0,12
2000,"AR4",0.00483229041250294,0.151314732314399,0.00553093480949132,0,0,0,12
2002,"AR4",0.00648132740114474,0.154624448178204,0.00762334399569973,0,0,0,12
2004,"AR4",0,0.134190437926878,0,0,0,0,12
2006,"AR4",0.00648642273786007,0.187614863735983,0.00589674794350915,0,0,0,12
2008,"AR4",0.00127500690161236,0.108956989784186,0,0,0,0,12
2010,"AR4",0.00410311398997746,0.141785383431443,0.00664183436028415,0,0,0,12
2012,"AR4",0.00317569107327023,0.118221330070466,0.00361696885455942,0,0,0,12
1982,"AZ1",NA,NA,NA,0,0,0,13
1984,"AZ1",0,0.00744989942635774,0,0,0,0,13
1986,"AZ1",NA,NA,NA,0,0,0,13
1988,"AZ1",0,0,0,0,0,0,13
1990,"AZ1",0.0817438692098093,0.0163487738419619,0.0163487738419619,0,0,0,13
1992,"AZ1",0.0107382299661979,0.00933759127495471,0.0373503650998189,0,0,0,13
1994,"AZ1",0.00348254894722545,0,0.0159500741782926,0,0,0,13
