"bfs","year","nat_rate_ord","indirect"
1,1991,0,0
1,1992,0,0
1,1993,0,0
1,1994,3.44827580451965,0
1,1995,0,0
1,1996,0,0
1,1997,0,0
1,1998,0,0
1,1999,0,0
1,2000,0,0
1,2001,2.38095235824585,0
1,2002,0,0
1,2003,0,0
1,2004,0,0
1,2005,0,0
1,2006,1.61290311813354,1
1,2007,10.9375,1
1,2008,14.2857151031494,1
1,2009,9.67741870880127,1
2,1991,0.217391297221184,0
2,1992,0.947368443012238,0
2,1993,1.04712045192719,0
2,1994,0.834202289581299,0
2,1995,2.00200200080872,0
2,1996,1.77690029144287,0
2,1997,1.86274516582489,0
2,1998,2.05415511131287,0
2,1999,2.40213513374329,0
2,2000,2.19594597816467,0
2,2001,3.21027302742004,0
2,2002,4.63836479187012,0
2,2003,4.84481430053711,0
2,2004,5.62130165100098,0
2,2005,4.38782739639282,0
2,2006,8.11535835266113,1
2,2007,7.0673713684082,1
2,2008,8.9777193069458,1
2,2009,6.119704246521,1
3,1991,0.833333373069763,0
3,1992,0.840336203575134,0
3,1993,1.61290311813354,0
3,1994,0,0
3,1995,3.2467532157898,0
3,1996,1.27388536930084,0
3,1997,1.28205132484436,0
3,1998,5.19480514526367,0
3,1999,0.628930807113647,0
3,2000,2.38095235824585,0
3,2001,2.95858001708984,0
3,2002,2.92397665977478,0
3,2003,3.64583325386047,0
3,2004,5.10204076766968,0
3,2005,7.61904811859131,0
3,2006,7.50000047683716,1
3,2007,7.10900497436523,1
3,2008,4.7619047164917,1
3,2009,7.98122072219849,1
5,1991,0,0
5,1992,0,0
5,1993,0.602409601211548,0
5,1994,1.19047617912292,0
5,1995,0.558659195899963,0
5,1996,1.67597770690918,0
5,1997,4.73684215545654,0
5,1998,1.63043475151062,0
5,1999,1.02040815353394,0
5,2000,5.7142858505249,0
5,2001,0.458715587854385,0
5,2002,1.78571438789368,0
5,2003,4.47154474258423,0
5,2004,4.64135026931763,0
5,2005,12.698413848877,0
5,2006,4.7619047164917,0
5,2007,6.85483884811401,0
5,2008,11.6379308700562,0
5,2009,5.50458717346191,0
6,1991,0,0
6,1992,0,0
6,1993,0,0
6,1994,0,0
6,1995,0,0
6,1996,0,0
6,1997,0,0
6,1998,0,0
6,1999,0,0
6,2000,0,0
6,2001,0,0
6,2002,0,0
6,2003,0,0
6,2004,0,0
6,2005,17.2413787841797,0
6,2006,10.7142858505249,0
6,2007,0,0
6,2008,0,0
6,2009,12,0
7,1991,0,0
7,1992,0,0
7,1993,0,0
7,1994,0,0
7,1995,0,0
7,1996,2.27272725105286,0
7,1997,4.34782600402832,0
7,1998,0,0
7,1999,0,0
7,2000,1.85185182094574,0
7,2001,3.17460346221924,0
7,2002,0,0
7,2003,7.69230794906616,0
7,2004,7.57575798034668,0
7,2005,9.375,0
7,2006,11.1111116409302,0
7,2007,16.6666679382324,0
7,2008,3.38983058929443,0
7,2009,4.6875,0
9,1991,0.787401556968689,0
9,1992,0.775193810462952,0
9,1993,0.751879692077637,0
9,1994,1.57480311393738,0
9,1995,0,0
9,1996,3.89610385894775,0
9,1997,1.32450330257416,0
9,1998,3.77358484268188,0
9,1999,0.64102566242218,0
9,2000,8.7209300994873,0
9,2001,4,0
9,2002,2.74725270271301,0
9,2003,3.17460346221924,0
9,2004,7.32984304428101,0
9,2005,1.98019802570343,0
9,2006,16.9902896881104,1
9,2007,1.47783255577087,1
9,2008,2.4154589176178,1
9,2009,4.3902440071106,1
10,1991,0,0
10,1992,1.45985400676727,0
10,1993,0.371747195720673,0
10,1994,2.15827345848083,0
10,1995,2.81690144538879,0
10,1996,1.03448271751404,0
10,1997,1.94174754619598,0
10,1998,1.23839008808136,0
10,1999,1.52905201911926,0
10,2000,4.7619047164917,0
10,2001,7.00636959075928,0
10,2002,2.18068528175354,0
10,2003,5.75757598876953,0
10,2004,5.23255825042725,0
10,2005,7.12328767776489,0
10,2006,3.39425587654114,1
10,2007,6.94087362289429,1
10,2008,9.0206184387207,1
10,2009,2.53807091712952,1
11,1991,1.14942526817322,0
11,1992,1.06382977962494,0
11,1993,2.19780230522156,0
11,1994,1.12359547615051,0
11,1995,1.07526886463165,0
11,1996,2.22222232818604,0
11,1997,5.81395387649536,0
11,1998,5.9523811340332,0
11,1999,1.2195121049881,0
11,2000,7.86516904830933,0
11,2001,0,0
11,2002,4.70588254928589,0
11,2003,3.57142877578735,0
11,2004,3.7974681854248,0
11,2005,4.87804841995239,0
11,2006,2.40963840484619,0
11,2007,6.89655160903931,0
11,2008,2.4390242099762,0
11,2009,1.16279065608978,0
13,1991,0,0
13,1992,0,0
13,1993,0,0
13,1994,5.61797761917114,0
13,1995,0,0
13,1996,0,0
13,1997,5.34351110458374,0
13,1998,0.79365086555481,0
13,1999,0.877192974090576,0
13,2000,10.0840339660645,0
13,2001,2.52100849151611,0
13,2002,0.769230782985687,0
13,2003,0.740740716457367,0
13,2004,0.694444477558136,0
13,2005,2.5806450843811,0
13,2006,4.48717975616455,1
13,2007,5.84415578842163,1
13,2008,6.6666669845581,1
13,2009,1.52671754360199,1
24,1991,0,0
24,1992,0,0
24,1993,0,0
24,1994,0,0
24,1995,0,0
24,1996,0,0
24,1997,0,0
24,1998,0,1
24,1999,0,1
24,2000,0,1
24,2001,0,1
24,2002,0,1
24,2003,0,1
24,2004,20,1
24,2005,0,1
24,2006,7.14285755157471,1
24,2007,30.7692317962646,1
24,2008,0,1
24,2009,0,1
25,1991,0,0
25,1992,0,0
25,1993,0,0
25,1994,0,0
25,1995,1.92307698726654,0
25,1996,4.08163261413574,0
25,1997,0,0
25,1998,4.25531911849976,0
25,1999,0,0
25,2000,0,0
25,2001,0,0
25,2002,0,0
25,2003,8.21917819976807,0
25,2004,0,0
25,2005,1.11111116409302,0
25,2006,1.08695650100708,0
25,2007,0,0
25,2008,2.88461542129517,0
25,2009,10.7843141555786,1
26,1991,0,0
26,1992,0,0
26,1993,0,0
26,1994,0,0
26,1995,0,0
26,1996,0,0
26,1997,0,0
26,1998,0,0
26,1999,0,0
26,2000,20,0
26,2001,20,0
26,2002,0,0
26,2003,15.7894725799561,0
26,2004,0,0
26,2005,5.55555582046509,0
26,2006,0,0
26,2007,14.2857151031494,1
26,2008,23.0769233703613,1
26,2009,0,1
27,1991,0,0
27,1992,0,0
27,1993,3.08370041847229,0
27,1994,0.947867333889008,0
27,1995,2.92682933807373,0
27,1996,5,0
27,1997,1.52284264564514,0
27,1998,0,0
27,1999,0,0
27,2000,1.79372203350067,0
27,2001,1.26582276821136,0
27,2002,3.55731201171875,0
27,2003,0.772200763225555,0
27,2004,3.55871868133545,0
27,2005,4.248366355896,0
27,2006,4.32098770141602,0
27,2007,5.23255825042725,0
27,2008,3.26409482955933,0
27,2009,5.81395387649536,0
28,1991,0,0
28,1992,0,0
28,1993,0,0
28,1994,15.3846158981323,0
28,1995,0,0
28,1996,0,0
28,1997,0,0
28,1998,5.55555582046509,0
28,1999,0,0
28,2000,0,0
28,2001,0,0
28,2002,24.1379299163818,0
28,2003,7.69230794906616,0
28,2004,0,0
28,2005,13.3333339691162,0
28,2006,0,0
28,2007,0,0
28,2008,2.12765955924988,0
28,2009,0,0
29,1991,2.04081630706787,0
29,1992,0,0
29,1993,0,0
29,1994,2.17391300201416,0
29,1995,2.04081630706787,0
29,1996,2.17391300201416,0
29,1997,0,0
29,1998,11.9047622680664,0
29,1999,0,0
29,2000,11.764705657959,0
29,2001,2,0
29,2002,10.3448276519775,0
29,2003,7.57575798034668,0
29,2004,9.8360652923584,0
29,2005,0,0
29,2006,5,0
29,2007,5.55555582046509,0
29,2008,10.638298034668,0
29,2009,10.638298034668,1
31,1991,0,0
31,1992,0,0
31,1993,0,0
31,1994,0,0
31,1995,0,0
31,1996,0,0
31,1997,0,0
31,1998,6.81818199157715,0
31,1999,1.81818175315857,0
31,2000,14.0350875854492,0
31,2001,1.66666674613953,0
31,2002,3.03030300140381,0
31,2003,8.82352924346924,0
31,2004,0,0
31,2005,0,0
31,2006,2.85714292526245,0
31,2007,1.47058820724487,0
31,2008,2.70270276069641,0
31,2009,0,0
33,1991,0,0
33,1992,2.94117641448975,0
33,1993,2.63157892227173,0
33,1994,0,0
33,1995,0,0
33,1996,9.67741870880127,0
33,1997,4.16666698455811,0
33,1998,0,0
33,1999,1.49253726005554,0
33,2000,5.7142858505249,0
33,2001,8.82352924346924,0
33,2002,12.5,0
33,2003,11.5384616851807,0
33,2004,6.09756088256836,0
33,2005,17.2839508056641,0
33,2006,7.69230794906616,1
33,2007,1.29870128631592,1
33,2008,11.8421058654785,1
33,2009,0,1
34,1991,3.22580623626709,0
34,1992,3.03030300140381,0
34,1993,0,0
34,1994,0,0
34,1995,0,0
34,1996,0,0
34,1997,0,0
34,1998,0,0
34,1999,13.8888893127441,0
34,2000,4.87804841995239,0
34,2001,9.5238094329834,0
34,2002,0,0
34,2003,13.9534893035889,0
34,2004,0,0
34,2005,6.81818199157715,0
34,2006,8.51063823699951,0
34,2007,0,0
34,2008,0,0
34,2009,2.63157892227173,1
35,1991,0,0
35,1992,0,0
35,1993,0,0
35,1994,26.6666679382324,0
35,1995,0,0
35,1996,0,0
35,1997,0,0
35,1998,8,0
35,1999,0,0
35,2000,0,0
35,2001,0,0
35,2002,5.26315784454346,0
35,2003,4.87804841995239,0
35,2004,2.4390242099762,0
35,2005,2.08333349227905,0
35,2006,10.2040815353394,0
35,2007,4.44444465637207,0
35,2008,5.88235282897949,0
35,2009,0,0
36,1991,0,0
36,1992,0,0
36,1993,0,0
36,1994,0,0
36,1995,0,0
36,1996,0,0
36,1997,0,0
36,1998,0,0
36,1999,0,0
36,2000,0,0
36,2001,0,0
36,2002,5.55555582046509,0
36,2003,0,0
36,2004,0,0
36,2005,0,0
36,2006,0,0
36,2007,6.89655160903931,0
36,2008,7.69230794906616,0
36,2009,0,0
37,1991,0,0
37,1992,0,0
37,1993,0,0
37,1994,0,0
37,1995,5.26315784454346,0
37,1996,0,0
37,1997,0,0
37,1998,0,0
37,1999,0,0
37,2000,0,0
37,2001,25,0
37,2002,8,0
37,2003,0,0
37,2004,2.77777791023254,0
37,2005,15.7894725799561,0
37,2006,0,1
37,2007,2.38095235824585,1
37,2008,22.72727394104,1
37,2009,8.88888931274414,1
39,1991,0,0
39,1992,0,0
39,1993,0,0
39,1994,0,0
39,1995,0,0
39,1996,6.25,0
39,1997,0,0
39,1998,12.5,0
39,1999,0,0
39,2000,0,0
39,2001,0,0
39,2002,4.16666698455811,0
39,2003,0,0
39,2004,17.8571434020996,0
39,2005,20.8333320617676,0
39,2006,8,1
39,2007,4.16666698455811,1
39,2008,0,1
39,2009,0,1
41,1991,0,0
41,1992,0,0
41,1993,0,0
41,1994,38.461540222168,0
41,1995,0,0
41,1996,9.09090900421143,0
41,1997,0,0
41,1998,0,0
41,1999,0,0
41,2000,0,0
41,2001,0,0
41,2002,0,0
41,2003,0,0
41,2004,0,0
41,2005,0,0
41,2006,0,0
41,2007,0,0
41,2008,0,0
41,2009,0,0
42,1991,0,0
42,1992,0,0
42,1993,0,0
42,1994,0,0
42,1995,0,0
42,1996,0,0
42,1997,0,0
42,1998,0,0
42,1999,0,0
42,2000,0,0
42,2001,5.26315784454346,0
42,2002,0,0
42,2003,0,0
42,2004,4.7619047164917,0
42,2005,0,0
42,2006,5.55555582046509,0
42,2007,4.16666698455811,0
42,2008,3.70370364189148,0
42,2009,0,0
51,1991,0.990099012851715,0
51,1992,0.381679385900497,0
51,1993,3.35195541381836,0
51,1994,3.21361041069031,0
51,1995,3.01204824447632,0
51,1996,7.27272701263428,0
51,1997,3.38983058929443,0
51,1998,5.74468088150024,0
51,1999,7.48898696899414,0
51,2000,4.72972965240479,0
51,2001,11.8993129730225,0
51,2002,6.08108139038086,0
51,2003,5.47045946121216,0
51,2004,4.72103023529053,0
51,2005,5.10638284683228,0
51,2006,5.6910572052002,1
51,2007,8.21355247497559,1
51,2008,6.30252122879028,1
51,2009,7.4309983253479,1
52,1991,0.369003683328629,0
52,1992,0.361663669347763,0
52,1993,1.42602491378784,0
52,1994,1.24333930015564,0
52,1995,1.39616060256958,0
52,1996,3.77358484268188,0
52,1997,4.57746458053589,0
52,1998,7.47826099395752,0
52,1999,7.75716686248779,0
52,2000,3.97923898696899,0
52,2001,3.48258686065674,0
52,2002,3.39233064651489,0
52,2003,4.52127647399902,0
52,2004,5.32178211212158,0
52,2005,3.2902467250824,0
52,2006,1.10010993480682,1
52,2007,0.881488740444183,1
52,2008,4.47368431091309,1
52,2009,2.76100087165833,1
53,1991,0.863787353038788,0
53,1992,0.523560225963593,0
53,1993,2.29445505142212,0
53,1994,3.00511503219604,0
53,1995,3.79117465019226,0
53,1996,4.01002502441406,0
53,1997,3.24840760231018,0
53,1998,4.15335464477539,1
53,1999,6.60377359390259,1
53,2000,9.52681350708008,1
53,2001,6.78524398803711,1
53,2002,6.42140436172485,1
53,2003,5.37848615646362,1
53,2004,7.56578969955444,1
53,2005,8.37628841400146,1
53,2006,8.04804801940918,1
53,2007,8.23395729064941,1
53,2008,10.8426961898804,1
53,2009,2.97085189819336,1
54,1991,0.361663669347763,0
54,1992,0.353982299566269,0
54,1993,2.08333349227905,0
54,1994,1.34003353118896,0
54,1995,2.86195278167725,0
54,1996,5.4577465057373,0
54,1997,3.1802122592926,0
54,1998,3.95683455467224,0
54,1999,4.0780143737793,0
54,2000,9.5238094329834,0
54,2001,7.64119625091553,0
54,2002,6.14617967605591,0
54,2003,13.3020343780518,0
54,2004,5.04587125778198,0
54,2005,7.20461082458496,0
54,2006,12.188364982605,1
54,2007,6.63841819763184,1
54,2008,4.33566427230835,1
54,2009,12.5854997634888,1
55,1991,0.884955763816833,0
55,1992,0,0
55,1993,3.25203227996826,0
55,1994,0,0
55,1995,0.757575750350952,0
55,1996,4,0
55,1997,2.47933888435364,0
55,1998,0,0
55,1999,0,0
55,2000,0.694444477558136,0
55,2001,3.26797413825989,0
55,2002,10.3030300140381,0
55,2003,7.34463262557983,0
55,2004,9.89011001586914,0
55,2005,0,0
55,2006,1.94174754619598,0
55,2007,3.7383177280426,0
55,2008,4.9107141494751,0
55,2009,1.70212757587433,0
56,1991,0.310559004545212,0
56,1992,0,0
56,1993,1.77777779102325,0
56,1994,2.16138315200806,0
56,1995,3.26704525947571,0
56,1996,4.34192657470703,0
56,1997,5.47945213317871,0
56,1998,4.74820137023926,1
56,1999,3.74100732803345,1
56,2000,5.16304349899292,1
56,2001,3.5809018611908,1
56,2002,3.88601040840149,1
56,2003,5.76923084259033,1
56,2004,5.90961742401123,1
56,2005,8.71964645385742,1
56,2006,12.1898603439331,1
56,2007,8.58085823059082,1
56,2008,6.43402433395386,1
56,2009,4.61031818389893,1
57,1991,0.909090876579285,0
57,1992,0,0
57,1993,2.88461542129517,0
57,1994,8.1081075668335,0
57,1995,0.952381014823914,0
57,1996,0,0
57,1997,1.88679242134094,0
57,1998,5.55555582046509,0
57,1999,0.980392217636108,0
57,2000,1.01010096073151,0
57,2001,4.85436868667603,0
57,2002,0,0
57,2003,7.758620262146,0
57,2004,4.2016806602478,0
57,2005,1.69491529464722,0
57,2006,4,1
57,2007,8.80000019073486,1
57,2008,7.14285755157471,1
57,2009,0,1
59,1991,0,0
59,1992,1.78571438789368,0
59,1993,1.92307698726654,0
59,1994,3.77358484268188,0
59,1995,3.38983058929443,0
59,1996,1.49253726005554,0
59,1997,3.07692313194275,0
59,1998,8,0
59,1999,1.28205132484436,0
59,2000,10.2564105987549,0
59,2001,1.35135138034821,0
59,2002,5.61797761917114,0
59,2003,1.13636362552643,0
59,2004,4.44444465637207,0
59,2005,5.10204076766968,0
59,2006,6.6666669845581,1
59,2007,6.5420560836792,1
59,2008,8.1081075668335,1
59,2009,1.58730173110962,1
60,1991,0,0
60,1992,0,0
60,1993,0.597014904022217,0
60,1994,0,0
60,1995,3.02114796638489,0
60,1996,4.73372793197632,0
60,1997,6.00600624084473,0
60,1998,7.37463140487671,0
60,1999,4.63768148422241,0
60,2000,6.23229455947876,0
60,2001,5.33333349227905,0
