"abb","year","turnout","policy_edr","policy_mail_in","policy_motor"
"AL",1920,21.0210742950439,0,0,0
"AL",1924,13.5823287963867,0,0,0
"AL",1928,19.0385036468506,0,0,0
"AL",1932,17.6200199127197,0,0,0
"AL",1936,18.6923751831055,0,0,0
"AL",1940,18.8640613555908,0,0,0
"AL",1944,14.9668998718262,0,0,0
"AL",1948,12.5662212371826,0,0,0
"AL",1952,24.1340141296387,0,0,0
"AL",1956,27.606143951416,0,0,0
"AL",1960,31.0918750762939,0,0,0
"AL",1964,36.146354675293,0,0,0
"AL",1968,52.951229095459,0,0,0
"AL",1972,43.440975189209,0,0,0
"AL",1976,47.2950820922852,0,0,0
"AL",1980,49.1729202270508,0,0,0
"AL",1984,50.9417686462402,0,0,0
"AL",1988,47.0270729064941,0,0,0
"AL",1992,55.3430595397949,0,0,0
"AL",1996,48.1451034545898,0,1,1
"AL",2000,50.1333770751953,0,1,1
"AL",2004,55.2000007629395,0,1,1
"AL",2008,58.4000015258789,0,1,1
"AL",2012,56,0,1,1
"AZ",1920,42.8594436645508,0,0,0
"AZ",1924,47.7737770080566,0,0,0
"AZ",1928,40.3955993652344,0,0,0
"AZ",1932,47.889461517334,0,0,0
"AZ",1936,47.3646087646484,0,0,0
"AZ",1940,52.0489845275879,0,0,0
"AZ",1944,39.3509178161621,0,0,0
"AZ",1948,43.0546684265137,0,0,0
"AZ",1952,52.1136665344238,0,0,0
"AZ",1956,47.105884552002,0,0,0
"AZ",1960,54.4386596679688,0,0,0
"AZ",1964,56.4814376831055,0,0,0
"AZ",1968,50.1788940429688,0,0,0
"AZ",1972,50.134635925293,0,0,0
"AZ",1976,48.5437240600586,0,0,0
"AZ",1980,45.3761672973633,0,0,0
"AZ",1984,46.0199584960938,0,0,1
"AZ",1988,46.2736015319824,0,0,1
"AZ",1992,51.2745704650879,0,1,1
"AZ",1996,42.1508483886719,0,1,1
"AZ",2000,40.7052116394043,0,1,1
"AZ",2004,47,0,1,1
"AZ",2008,49.0999984741211,0,1,1
"AZ",2012,46.5,0,1,1
"AR",1920,20.6404514312744,0,0,0
"AR",1924,15.0396938323975,0,0,0
"AR",1928,20.7546539306641,0,0,0
"AR",1932,22.1679973602295,0,0,0
"AR",1936,17.1138458251953,0,0,0
"AR",1940,18.2185573577881,0,0,0
"AR",1944,19.2498207092285,0,0,0
"AR",1948,21.8314247131348,0,0,0
"AR",1952,36.8369178771973,0,0,0
"AR",1956,37.9637184143066,0,0,0
"AR",1960,41.0842742919922,0,0,0
"AR",1964,51.2741088867188,0,0,0
"AR",1968,53.3324584960938,0,0,0
"AR",1972,47.9752578735352,0,0,0
"AR",1976,52.6430053710938,0,0,0
"AR",1980,51.8947944641113,0,0,0
"AR",1984,53.2698440551758,0,0,0
"AR",1988,48.5057144165039,0,0,0
"AR",1992,53.3391075134277,0,0,0
"AR",1996,46.8444404602051,0,1,1
"AR",2000,46.2502098083496,0,1,1
"AR",2004,51,0,1,1
"AR",2008,50,0,1,1
"AR",2012,47.5,0,1,1
"CA",1920,45.5303230285645,0,0,0
"CA",1924,45.9600372314453,0,0,0
"CA",1928,51.2467727661133,0,0,0
"CA",1932,55.7184677124023,0,0,0
"CA",1936,58.9420356750488,0,0,0
"CA",1940,66.9074554443359,0,0,0
"CA",1944,60.5299301147461,0,0,0
"CA",1948,59.5963516235352,0,0,0
"CA",1952,66.7525329589844,0,0,0
"CA",1956,62.9660949707031,0,0,0
"CA",1960,67.3558807373047,0,0,0
"CA",1964,65.9809494018555,0,0,0
"CA",1968,60.5377922058105,0,0,0
"CA",1972,58.8878211975098,0,0,0
"CA",1976,51.2495574951172,0,1,0
"CA",1980,49.6669044494629,0,1,0
"CA",1984,49.5769004821777,0,1,0
"CA",1988,46.939022064209,0,1,0
"CA",1992,49.4044876098633,0,1,0
"CA",1996,42.4971351623535,0,1,1
"CA",2000,44.5370101928711,0,1,1
"CA",2004,47.0999984741211,0,1,1
"CA",2008,49.5,0,1,1
"CA",2012,45.0999984741211,0,1,1
"CO",1920,54.2143058776855,0,0,0
"CO",1924,59.7698554992676,0,0,0
"CO",1928,64.6667938232422,0,0,0
